doy,coupling,density,mean,sd
154,high,8944.754735,6518.394852,3431.391054
170,high,9224.137931,6077.586207,4449.896123
184,high,5451.554153,3648.312288,2550.169102
198,high,8025.983487,7879.371054,207.3412915
213,high,5129.310345,3515.359398,2282.471318
226,high,1336.206897,1336.207,NA
154,intermediate,2327.586207,3685.344828,1920.160656
170,intermediate,1915.492958,4402.926178,3517.761795
184,intermediate,7774.647887,7774.647887,NA
198,intermediate,3140.84507,3140.84507,NA
213,intermediate,450.7042254,450.7042254,NA
226,intermediate,301.7241379,3405.172414,4388.938642
154,low,7512.506071,7512.506071,NA
170,low,8595.313259,7379.553181,1719.34439
184,low,5431.034483,4353.448276,1523.937028
198,low,5251.942691,4500.971345,1062.033861
213,low,2155.172414,2430.488101,389.3551788
226,low,3017.241379,2370.689655,914.3622171
