diet_id,broad_taxa
cyclopoida,zoop
longleaf_pweed,macrophyte
diaphanosoma,zoop
invert head,benthos
copepod,zoop
nauplii,zoop
asplanchna,zoop
mosquito/phantom midge,benthos
mite,benthos
benthos,benthos
juv fish,fish
physidae,benthos
cladoceran,zoop
ephemenoptera,benthos
plant chunks,macrophyte
chironomid,benthos
L. Frog egg tube tract,frog
mess of digested material,unknown
lots of spirogyra,macrophyte
plant material,macrophyte
frog eggs + tracts,frog
pomph,zoop
Keratella,zoop
Ostracods,zoop
cyclopoidalopoida,zoop
oligochaete,benthos
phantom midge,benthos
rotifer,zoop
unknown,unknown
mosquito larvae,benthos
naucoridae,benthos
chydorus,zoop
gammaridae,benthos
leptodora,zoop
planorbidae,benthos
odonata,benthos
corixidae,benthos
caddisfly,benthos
fish digestive tracts - likely juv fish or FHM,fish
fathead,fish
filamentous algae,phytoplankton
pompholyx,zoop
brachionus,zoop
calanoid,zoop
insect heads,benthos
juv fish spine,fish
flying insect,benthos
juv fish or fathead,zoop
worm,benthos
hirudinea,benthos
nemotoda,benthos
spider,benthos
